2026-08-18 10:35:24 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [ACTION_DIFF] Step 50 | Requested=HOLD Executed=HOLD | inv_penalty=-0.01000 | rejections={'fee_gate': 18, 'risk_gate': 0, 'cooldown_wait': 2, 'cooldown_hold_min': 1, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 0, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 50, 'deadband_reject': 9, 'routing_reject': 18, 'budget_reject': 0, 'barrier_reject': 18, 'portfolio_reject': 0, 'trade_executed': 2}
2026-08-18 10:35:24,987 INFO [ACTION_DIFF] Step 50 | Requested=HOLD Executed=HOLD | inv_penalty=-0.01000 | rejections={'fee_gate': 18, 'risk_gate': 0, 'cooldown_wait': 2, 'cooldown_hold_min': 1, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 0, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 50, 'deadband_reject': 9, 'routing_reject': 18, 'budget_reject': 0, 'barrier_reject': 18, 'portfolio_reject': 0, 'trade_executed': 2}
2026-08-18 10:35:32 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [ACTION_DIFF] Step 100 | Requested=HOLD Executed=HOLD | inv_penalty=-0.01000 | rejections={'fee_gate': 36, 'risk_gate': 0, 'cooldown_wait': 2, 'cooldown_hold_min': 1, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 0, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 100, 'deadband_reject': 22, 'routing_reject': 37, 'budget_reject': 0, 'barrier_reject': 36, 'portfolio_reject': 0, 'trade_executed': 2}
2026-08-18 10:35:32,078 INFO [ACTION_DIFF] Step 100 | Requested=HOLD Executed=HOLD | inv_penalty=-0.01000 | rejections={'fee_gate': 36, 'risk_gate': 0, 'cooldown_wait': 2, 'cooldown_hold_min': 1, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 0, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 100, 'deadband_reject': 22, 'routing_reject': 37, 'budget_reject': 0, 'barrier_reject': 36, 'portfolio_reject': 0, 'trade_executed': 2}
2026-08-18 10:35:38 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [ACTION_DIFF] Step 150 | Requested=HOLD Executed=SELL | inv_penalty=0.00000 | rejections={'fee_gate': 53, 'risk_gate': 0, 'cooldown_wait': 5, 'cooldown_hold_min': 2, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 0, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 150, 'deadband_reject': 34, 'routing_reject': 49, 'budget_reject': 0, 'barrier_reject': 53, 'portfolio_reject': 0, 'trade_executed': 8}
2026-08-18 10:35:38,719 INFO [ACTION_DIFF] Step 150 | Requested=HOLD Executed=SELL | inv_penalty=0.00000 | rejections={'fee_gate': 53, 'risk_gate': 0, 'cooldown_wait': 5, 'cooldown_hold_min': 2, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 0, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 150, 'deadband_reject': 34, 'routing_reject': 49, 'budget_reject': 0, 'barrier_reject': 53, 'portfolio_reject': 0, 'trade_executed': 8}
2026-08-18 10:35:48 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [ACTION_DIFF] Step 200 | Requested=HOLD Executed=HOLD | inv_penalty=0.00000 | rejections={'fee_gate': 70, 'risk_gate': 0, 'cooldown_wait': 8, 'cooldown_hold_min': 2, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 0, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 200, 'deadband_reject': 44, 'routing_reject': 69, 'budget_reject': 0, 'barrier_reject': 70, 'portfolio_reject': 0, 'trade_executed': 8}
2026-08-18 10:35:48,329 INFO [ACTION_DIFF] Step 200 | Requested=HOLD Executed=HOLD | inv_penalty=0.00000 | rejections={'fee_gate': 70, 'risk_gate': 0, 'cooldown_wait': 8, 'cooldown_hold_min': 2, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 0, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 200, 'deadband_reject': 44, 'routing_reject': 69, 'budget_reject': 0, 'barrier_reject': 70, 'portfolio_reject': 0, 'trade_executed': 8}
2026-08-18 10:35:56 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [ACTION_DIFF] Step 250 | Requested=BUY Executed=HOLD | inv_penalty=-0.01000 | rejections={'fee_gate': 91, 'risk_gate': 0, 'cooldown_wait': 8, 'cooldown_hold_min': 2, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 0, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 250, 'deadband_reject': 50, 'routing_reject': 92, 'budget_reject': 0, 'barrier_reject': 91, 'portfolio_reject': 0, 'trade_executed': 8}
2026-08-18 10:35:56,225 INFO [ACTION_DIFF] Step 250 | Requested=BUY Executed=HOLD | inv_penalty=-0.01000 | rejections={'fee_gate': 91, 'risk_gate': 0, 'cooldown_wait': 8, 'cooldown_hold_min': 2, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 0, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 250, 'deadband_reject': 50, 'routing_reject': 92, 'budget_reject': 0, 'barrier_reject': 91, 'portfolio_reject': 0, 'trade_executed': 8}
2026-08-18 10:36:05 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [ACTION_DIFF] Step 300 | Requested=HOLD Executed=HOLD | inv_penalty=0.00000 | rejections={'fee_gate': 109, 'risk_gate': 0, 'cooldown_wait': 8, 'cooldown_hold_min': 2, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 0, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 300, 'deadband_reject': 61, 'routing_reject': 113, 'budget_reject': 0, 'barrier_reject': 109, 'portfolio_reject': 0, 'trade_executed': 8}
