[ANCHOR_DEBUG] upd=4 n_upd=4 a0_mean=0.0039 a0_std=0.3679 anchor=0.0000 | adv_BUY=0.0072 adv_SELL=0.0349 adv_HOLD=-0.0532 | v_BUY=-0.8463 v_SELL=-0.8505 | nB=784 nS=780 nH=484
[ANCHOR_DEBUG] upd=8 n_upd=8 a0_mean=0.0044 a0_std=0.3680 anchor=0.0000 | adv_BUY=-0.0326 adv_SELL=-0.0425 adv_HOLD=0.0930 | v_BUY=-0.6137 v_SELL=-0.6062 | nB=832 nS=712 nH=504
[ANCHOR_DEBUG] upd=12 n_upd=12 a0_mean=0.0018 a0_std=0.3680 anchor=0.0000 | adv_BUY=0.0346 adv_SELL=-0.0269 adv_HOLD=-0.0325 | v_BUY=-0.5146 v_SELL=-0.4981 | nB=844 nS=764 nH=440
[ANCHOR_DEBUG] upd=16 n_upd=16 a0_mean=0.0052 a0_std=0.3680 anchor=0.0000 | adv_BUY=-0.0432 adv_SELL=0.0862 adv_HOLD=-0.0367 | v_BUY=-0.3902 v_SELL=-0.3799 | nB=848 nS=756 nH=444
[ANCHOR_DEBUG] upd=20 n_upd=20 a0_mean=0.0018 a0_std=0.3680 anchor=0.0000 | adv_BUY=0.0512 adv_SELL=0.0037 adv_HOLD=-0.1122 | v_BUY=-0.3678 v_SELL=-0.3529 | nB=768 nS=872 nH=408
[ANCHOR_DEBUG] upd=24 n_upd=24 a0_mean=0.0028 a0_std=0.3680 anchor=0.0000 | adv_BUY=-0.0101 adv_SELL=0.0215 adv_HOLD=-0.0102 | v_BUY=-0.2390 v_SELL=-0.2556 | nB=676 nS=924 nH=448
[ANCHOR_DEBUG] upd=28 n_upd=28 a0_mean=-0.0002 a0_std=0.3680 anchor=0.0000 | adv_BUY=-0.0955 adv_SELL=0.0135 adv_HOLD=0.1285 | v_BUY=-0.3593 v_SELL=-0.3635 | nB=752 nS=820 nH=476
[ANCHOR_DEBUG] upd=32 n_upd=32 a0_mean=-0.0007 a0_std=0.3680 anchor=0.0000 | adv_BUY=0.0441 adv_SELL=-0.0128 adv_HOLD=-0.0510 | v_BUY=-0.4084 v_SELL=-0.4089 | nB=768 nS=808 nH=472
[ANCHOR_DEBUG] upd=36 n_upd=36 a0_mean=-0.0008 a0_std=0.3680 anchor=0.0000 | adv_BUY=-0.0903 adv_SELL=0.0764 adv_HOLD=0.0014 | v_BUY=-0.4061 v_SELL=-0.4148 | nB=824 nS=848 nH=376
[ANCHOR_DEBUG] upd=40 n_upd=40 a0_mean=-0.0051 a0_std=0.3681 anchor=0.0000 | adv_BUY=-0.1122 adv_SELL=0.1417 adv_HOLD=-0.1052 | v_BUY=-0.3900 v_SELL=-0.3796 | nB=800 nS=860 nH=388
[ANCHOR_DEBUG] upd=44 n_upd=44 a0_mean=-0.0096 a0_std=0.3681 anchor=0.0000 | adv_BUY=0.0962 adv_SELL=-0.0292 adv_HOLD=-0.1045 | v_BUY=-0.3894 v_SELL=-0.3997 | nB=788 nS=868 nH=392
