2026-08-18 10:59:58 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$12.55 | PnL=$-7.95 (-38.76%) | Trades=152 | Steps=7940 | Trade/Step=0.0191 | MaxDD=39.15% | Sharpe=-0.0167 | WinRate=18.4%
2026-08-18 10:59:58,693 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$12.55 | PnL=$-7.95 (-38.76%) | Trades=152 | Steps=7940 | Trade/Step=0.0191 | MaxDD=39.15% | Sharpe=-0.0167 | WinRate=18.4%
2026-08-18 11:24:23 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$12.59 | PnL=$-7.91 (-38.57%) | Trades=154 | Steps=7940 | Trade/Step=0.0194 | MaxDD=38.57% | Sharpe=0.3779 | WinRate=20.8%
2026-08-18 11:24:23,513 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$12.59 | PnL=$-7.91 (-38.57%) | Trades=154 | Steps=7940 | Trade/Step=0.0194 | MaxDD=38.57% | Sharpe=0.3779 | WinRate=20.8%
2026-08-18 11:47:43 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$12.67 | PnL=$-7.83 (-38.19%) | Trades=148 | Steps=7940 | Trade/Step=0.0186 | MaxDD=38.23% | Sharpe=-0.1277 | WinRate=18.2%
2026-08-18 11:47:43,725 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$12.67 | PnL=$-7.83 (-38.19%) | Trades=148 | Steps=7940 | Trade/Step=0.0186 | MaxDD=38.23% | Sharpe=-0.1277 | WinRate=18.2%
2026-08-18 12:12:39 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$13.22 | PnL=$-7.28 (-35.49%) | Trades=144 | Steps=7940 | Trade/Step=0.0181 | MaxDD=35.51% | Sharpe=0.6568 | WinRate=19.4%
2026-08-18 12:12:39,665 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$13.22 | PnL=$-7.28 (-35.49%) | Trades=144 | Steps=7940 | Trade/Step=0.0181 | MaxDD=35.51% | Sharpe=0.6568 | WinRate=19.4%
2026-08-18 12:37:43 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$15.58 | PnL=$-4.92 (-24.00%) | Trades=93 | Steps=7940 | Trade/Step=0.0117 | MaxDD=24.17% | Sharpe=-0.1014 | WinRate=21.5%
2026-08-18 12:37:43,428 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$15.58 | PnL=$-4.92 (-24.00%) | Trades=93 | Steps=7940 | Trade/Step=0.0117 | MaxDD=24.17% | Sharpe=-0.1014 | WinRate=21.5%
2026-08-18 13:00:39 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.37 | PnL=$-0.13 (-0.64%) | Trades=2 | Steps=7940 | Trade/Step=0.0003 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 13:00:39,963 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.37 | PnL=$-0.13 (-0.64%) | Trades=2 | Steps=7940 | Trade/Step=0.0003 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 13:23:41 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 13:23:41,665 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 13:46:31 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 13:46:31,738 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 14:09:00 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 14:09:00,173 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 14:33:51 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 14:33:51,614 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 14:58:33 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 14:58:33,526 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 15:23:32 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 15:23:32,649 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 15:49:11 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 15:49:11,908 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 16:14:42 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 16:14:42,804 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 16:40:55 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 16:40:55,579 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 17:06:40 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 17:06:40,533 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 17:32:43 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 17:32:43,151 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 17:58:59 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 17:58:59,857 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 18:24:33 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 18:24:33,909 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 18:52:57 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 18:52:57,078 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 19:20:40 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 19:20:40,119 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 19:46:57 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 19:46:57,313 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 20:13:16 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 20:13:16,183 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 20:41:20 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 20:41:20,366 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 21:10:32 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 21:10:32,611 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 21:37:49 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 21:37:49,681 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 22:04:40 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 22:04:40,441 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 22:32:53 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 22:32:53,109 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 23:00:43 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 23:00:43,648 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 23:29:06 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 23:29:06,535 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 23:54:16 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-18 23:54:16,431 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-19 00:19:46 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-19 00:19:46,148 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-19 00:46:51 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-19 00:46:51,593 INFO [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
2026-08-19 01:11:05 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [EPISODE_END_STATS] Worker=0 | Initial=$20.50 | Final=$20.50 | PnL=$0.00 (+0.00%) | Trades=0 | Steps=7940 | Trade/Step=0.0000 | MaxDD=0.00% | Sharpe=0.0000 | WinRate=0.0%
