2026-08-18 10:35:20 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=27 | chunk=0/1 | step_in_chunk=77 | exec_src=open[t+1] | raw_exec_p=78390.67 | buy_price(+slip)=78406.35 | size=0.000196 | notional=$15.38 | capital_before=$20.50 | cash_after=$5.09 | exposure=75.01% | SL=0.60% TP=1.75% | tier=Micro Capital | TF=5m | profile=scalper
2026-08-18 10:35:20,838 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=27 | chunk=0/1 | step_in_chunk=77 | exec_src=open[t+1] | raw_exec_p=78390.67 | buy_price(+slip)=78406.35 | size=0.000196 | notional=$15.38 | capital_before=$20.50 | cash_after=$5.09 | exposure=75.01% | SL=0.60% TP=1.75% | tier=Micro Capital | TF=5m | profile=scalper
2026-08-18 10:35:35 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=120 | chunk=0/1 | step_in_chunk=170 | exec_src=open[t+1] | raw_exec_p=78272.51 | buy_price(+slip)=78288.16 | size=0.000219 | notional=$17.12 | capital_before=$20.42 | cash_after=$3.26 | exposure=83.84% | SL=0.84% TP=1.57% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:35:35,230 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=120 | chunk=0/1 | step_in_chunk=170 | exec_src=open[t+1] | raw_exec_p=78272.51 | buy_price(+slip)=78288.16 | size=0.000219 | notional=$17.12 | capital_before=$20.42 | cash_after=$3.26 | exposure=83.84% | SL=0.84% TP=1.57% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:35:38 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=143 | chunk=0/1 | step_in_chunk=193 | exec_src=open[t+1] | raw_exec_p=78271.14 | buy_price(+slip)=78286.79 | size=0.000209 | notional=$16.38 | capital_before=$20.37 | cash_after=$3.95 | exposure=80.42% | SL=1.03% TP=1.55% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:35:38,010 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=143 | chunk=0/1 | step_in_chunk=193 | exec_src=open[t+1] | raw_exec_p=78271.14 | buy_price(+slip)=78286.79 | size=0.000209 | notional=$16.38 | capital_before=$20.37 | cash_after=$3.95 | exposure=80.42% | SL=1.03% TP=1.55% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:35:38 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=148 | chunk=0/1 | step_in_chunk=198 | exec_src=open[t+1] | raw_exec_p=78272.93 | buy_price(+slip)=78288.58 | size=0.000209 | notional=$16.37 | capital_before=$20.28 | cash_after=$3.88 | exposure=80.69% | SL=0.90% TP=1.35% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:35:38,567 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=148 | chunk=0/1 | step_in_chunk=198 | exec_src=open[t+1] | raw_exec_p=78272.93 | buy_price(+slip)=78288.58 | size=0.000209 | notional=$16.37 | capital_before=$20.28 | cash_after=$3.88 | exposure=80.69% | SL=0.90% TP=1.35% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:36:32 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=451 | chunk=0/1 | step_in_chunk=501 | exec_src=open[t+1] | raw_exec_p=80188.03 | buy_price(+slip)=80204.07 | size=0.000201 | notional=$16.15 | capital_before=$20.44 | cash_after=$4.25 | exposure=79.01% | SL=0.60% TP=1.79% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:36:32,960 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=451 | chunk=0/1 | step_in_chunk=501 | exec_src=open[t+1] | raw_exec_p=80188.03 | buy_price(+slip)=80204.07 | size=0.000201 | notional=$16.15 | capital_before=$20.44 | cash_after=$4.25 | exposure=79.01% | SL=0.60% TP=1.79% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:36:34 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=460 | chunk=0/1 | step_in_chunk=510 | exec_src=open[t+1] | raw_exec_p=79898.88 | buy_price(+slip)=79914.86 | size=0.000208 | notional=$16.65 | capital_before=$20.32 | cash_after=$3.63 | exposure=81.95% | SL=0.87% TP=1.38% | tier=Micro Capital | TF=1h | profile=scalper
