  step_range |     n |  a0_mean  a0_std  a0_min  a0_max | dir>0% |     rew |   inval
     0-2000  |  2000 |   0.0111  0.3665  -1.000   1.000 |  52.1% | -0.1151 | -0.1161
  2000-4000  |  2000 |   0.0441  0.3630  -1.000   1.000 |  54.5% | -0.1099 | -0.1061
  4000-6000  |  2000 |   0.0546  0.3684  -1.000   1.000 |  54.9% | -0.1073 | -0.1049
  6000-8000  |  2000 |   0.0973  0.3732  -1.000   1.000 |  60.9% | -0.0944 | -0.0983
  8000-10000 |  2000 |   0.1692  0.3534  -1.000   1.000 |  68.0% | -0.1072 | -0.1043
 10000-12000 |  2000 |   0.1769  0.3584  -1.000   1.000 |  69.7% | -0.1172 | -0.1134
 12000-14000 |  2000 |   0.2005  0.3619  -0.854   1.000 |  70.7% | -0.0805 | -0.0791
 14000-16000 |  2000 |   0.3838  0.3495  -0.836   1.000 |  85.3% | -0.0469 | -0.0451
 16000-18000 |  2000 |   0.4405  0.3502  -0.845   1.000 |  88.6% | -0.1112 | -0.1063
 18000-20000 |  2000 |   0.5483  0.3353  -0.747   1.000 |  93.8% | -0.1189 | -0.1158
 20000-22000 |  2000 |   0.7354  0.2828  -0.502   1.000 |  98.4% | -0.0461 | -0.0407
 22000-24000 |  2000 |   0.9069  0.1727  -0.012   1.000 | 100.0% | -0.0234 | -0.0196
 24000-26000 |  2000 |   0.9792  0.0778   0.167   1.000 | 100.0% | -0.1013 | -0.0988
 26000-28000 |  2000 |   0.9992  0.0111   0.696   1.000 | 100.0% | -0.1332 | -0.1320
 28000-30000 |  2000 |   1.0000  0.0000   1.000   1.000 | 100.0% | -0.0682 | -0.0666
 30000-32000 |  2000 |   1.0000  0.0000   1.000   1.000 | 100.0% | -0.0238 | -0.0210
 32000-34000 |  2000 |   1.0000  0.0000   1.000   1.000 | 100.0% | -0.1130 | -0.1120
 34000-36000 |  2000 |   1.0000  0.0000   1.000   1.000 | 100.0% | -0.1288 | -0.1289
 36000-38000 |  2000 |   1.0000  0.0000   1.000   1.000 | 100.0% | -0.0641 | -0.0641
 38000-40000 |  2000 |   1.0000  0.0000   1.000   1.000 | 100.0% | -0.0463 | -0.0454
 40000-42000 |  2000 |   1.0000  0.0000   1.000   1.000 | 100.0% | -0.1224 | -0.1229
 42000-44000 |  2000 |   1.0000  0.0000   1.000   1.000 | 100.0% | -0.1308 | -0.1309
 44000-46000 |  2000 |   1.0000  0.0000   1.000   1.000 | 100.0% | -0.0561 | -0.0543
 46000-48000 |  2000 |   1.0000  0.0000   1.000   1.000 | 100.0% | -0.0236 | -0.0206
 48000-50000 |  2000 |   1.0000  0.0000   1.000   1.000 | 100.0% | -0.1201 | -0.1194
 50000-52000 |  2000 |   1.0000  0.0000   1.000   1.000 | 100.0% | -0.1263 | -0.1275
 52000-54000 |  2000 |   1.0000  0.0000   1.000   1.000 | 100.0% | -0.0946 | -0.0952
 54000-56000 |  2000 |   1.0000  0.0000   1.000   1.000 | 100.0% | -0.0239 | -0.0210
 56000-58000 |  2000 |   1.0000  0.0000   1.000   1.000 | 100.0% | -0.1319 | -0.1323
 58000-60000 |  2000 |   1.0000  0.0000   1.000   1.000 | 100.0% | -0.1244 | -0.1239

last_unsaturated_line_within_60k=27502
