total_lines=500224
  bucket |      n |  dir>0% dir>.33% dir<-.33 |  a0_mean  a0_std | rew_mean | inval_mean | cap_mean | pnl_mean | sell_flat% | top_types
     0k+ |   9999 |   87.8%    74.7%     3.8% |   0.6681  0.4609 |  -0.0878 |   -0.0865 |   -0.390 |  -0.0009 |     100.0% | hold=95.9% buy=2.0% force_close=1.3% stop_loss=0.5%
     0k+ |  10000 |  100.0%   100.0%     0.0% |   1.0000  0.0000 |  -0.0877 |   -0.0849 |   -0.347 |  -0.0008 |     100.0% | hold=95.9% buy=2.2% force_close=1.4% stop_loss=0.3%
     0k+ |  10000 |  100.0%   100.0%     0.0% |   1.0000  0.0000 |  -0.0990 |   -0.0753 |   -0.463 |  -0.0006 |     100.0% | hold=96.0% buy=2.4% force_close=1.1% stop_loss=0.3%
     0k+ |  10000 |  100.0%   100.0%     0.0% |   1.0000  0.0000 |  -0.1131 |   -0.0760 |   -0.450 |  -0.0006 |     100.0% | hold=95.9% buy=2.5% force_close=1.1% stop_loss=0.3%
     0k+ |  10000 |  100.0%   100.0%     0.0% |   1.0000  0.0000 |  -0.1254 |   -0.0762 |   -0.449 |  -0.0006 |     100.0% | hold=95.8% buy=2.5% force_close=1.2% stop_loss=0.3%
     0k+ |  10000 |  100.0%   100.0%     0.0% |   1.0000  0.0000 |  -0.1281 |   -0.0683 |   -0.545 |  -0.0006 |     100.0% | hold=95.8% buy=2.6% force_close=1.0% stop_loss=0.3%
     0k+ |  10000 |  100.0%   100.0%     0.0% |   1.0000  0.0000 |  -0.1330 |   -0.0715 |   -0.507 |  -0.0005 |     100.0% | hold=95.9% buy=2.5% force_close=1.1% stop_loss=0.3%
     0k+ |  10000 |  100.0%   100.0%     0.0% |   1.0000  0.0000 |  -0.1352 |   -0.0736 |   -0.484 |  -0.0007 |     100.0% | hold=95.9% buy=2.4% force_close=1.1% stop_loss=0.3%
     0k+ |  10000 |  100.0%   100.0%     0.0% |   1.0000  0.0000 |  -0.1316 |   -0.0689 |   -0.545 |  -0.0006 |     100.0% | hold=96.1% buy=2.4% force_close=1.0% stop_loss=0.3%
     0k+ |  10000 |  100.0%   100.0%     0.0% |   1.0000  0.0000 |  -0.1337 |   -0.0710 |   -0.518 |  -0.0007 |     100.0% | hold=96.1% buy=2.4% force_close=1.0% stop_loss=0.3%
     0k+ |     45 |  100.0%   100.0%     0.0% |   1.0000  0.0000 |  -0.1080 |   -0.0436 |   -0.800 |   0.0000 |     100.0% | hold=95.6% buy=4.4%
